Date,coach,block,kwh,percent_used,miles_travelled
3/4/2020,2610,0,1.841606603,118,195.2629022
3/4/2020,2611,0,2.005157744,118,173.3035324
3/4/2020,2612,0,1.68288154,103.5,186.2871712
3/4/2020,2606,0,1.869093285,115.5,188.6692777
3/4/2020,2609,0,1.978895051,130.5,183.2050823
3/4/2020,2605,0,1.779497024,111.5,193.6711977
3/4/2020,2604,0,1.888187731,92.5,145.0684254
3/4/2020,2601,0,1.564127166,82.00089036,161.2208591
3/4/2020,2600,0,1.571209274,74,177.6889652
3/4/2020,2603,0,1.909467277,65,102.433041
3/4/2020,2607,0,1.847034408,123,205.8099656
3/5/2020,2605,0,1.986093507,89,146.2197268
3/5/2020,2604,0,1.962102469,93,143.7014088
3/5/2020,2600,0,1.695333275,46,105.1033402
3/5/2020,2601,0,2.065937266,139.5,192.842419
3/5/2020,2602,0,1.943480706,12,22.06489104
3/5/2020,2603,0,1.665485984,94,167.3604897
3/5/2020,2606,0,1.739917377,109,201.8870474
3/5/2020,2612,0,1.731097274,100.5,181.4101522
3/5/2020,2609,0,1.826320158,84.5,196.126111
3/5/2020,2610,0,1.780723595,102,171.9291028
3/5/2020,2611,0,2.009416671,161,226.0972141
3/5/2020,7505,7773,1.66,23,50
3/5/2020,7502,7776/7776,1.73,23,48
3/5/2020,7502,7776/7777,1.91,35,66
3/5/2020,2607,0,1.82761526,116.5,188.9840436
3/6/2020,2611,0,1.960243305,119,192.4388353
3/6/2020,2612,0,1.788781993,94.5,167.065065
3/6/2020,2610,0,1.874912012,118,198.6255843
3/6/2020,2603,0,1.834236099,30,56.6504116
3/6/2020,2609,0,1.966777882,169,146.887502
3/6/2020,2600,0,1.495788226,18,44.54647981
3/6/2020,2602,0,1.694536343,53,93.71440786
3/6/2020,2606,0,1.641889071,88,164.7581695
3/6/2020,2604,0,1.662338907,71.5,144.9161895
3/6/2020,2605,0,2.041371891,119,191.1430993
3/6/2020,2607,0,1.912331273,98.5,153.2712894
3/6/2020,2601,0,1.863289327,100,156.7938676
3/7/2020,2612,0,1.689888194,14.5,31.17108586
3/7/2020,2610,0,1.420571778,7,10.73485074
3/7/2020,2605,0,1.832433274,99,145.1465566
3/7/2020,2607,0,1.625474934,96,174.9594866
3/7/2020,2602,0,1.975836837,93,151.2993555
3/7/2020,2601,0,1.991073133,119,184.4695727
3/7/2020,2604,0,1.951772501,102.5,166.3068927
3/8/2020,2605,0,1.963751636,63.5,104.33133
3/8/2020,2611,0,1.768027862,102,185.5600791
3/8/2020,2604,0,1.767961889,101.5,185.9391156
3/8/2020,2602,0,1.79930436,84.5,150.9139065
3/9/2020,2602,0,1.818831554,134,226.3872523
3/9/2020,2606,0,1.841624896,98,153.1307166
3/9/2020,2609,0,1.834667152,83,151.2792169
3/9/2020,2603,0,1.64040262,86.5,157.0826374
3/9/2020,2601,0,1.993539681,113.5,168.329456
3/9/2020,2607,0,1.895948437,126.5,195.0359898
3/9/2020,2604,0,1.540576392,37,75.75136205
3/9/2020,2610,0,1.919718192,117.5,186.1037789
3/9/2020,2611,0,1.77458732,109.5,189.3473366
3/10/2020,7504,7776/7777,1.85,34,66
3/10/2020,2601,0,1.843213656,111.5,187.6447795
3/10/2020,7502,7774,1.95,40,74
3/10/2020,7502,7774,1.61,46,103
3/10/2020,2609,0,1.883523137,131.5,191.0778864
3/10/2020,7504,7776/7776,1.73,23,48
3/10/2020,2603,0,1.982294071,124,186.6723336
3/10/2020,7505,7773,1.88,49,94
3/10/2020,7505,7773,1.58,22,50
3/10/2020,2604,0,1.401715786,26.5,65.67893502
3/10/2020,2605,0,1.976135141,125,167.6253679
3/10/2020,2606,0,1.508885138,83,171.4704874
